Sour IP;Dest IP;Numb P;Data;Sour Port;Dest Port;Time 
192.163.182.77;;7;236;14001;3247;0:57:36 
192.120.218.225;;2;68;42704;64211;0:57:36 
192.45.27.213;;10;22;835;59660;1:26:24 
192.186.239.157;;8;87;14761;19670;1:55:12 
192.93.166.221;;1;64;1370;23552;0:14:24 
192.65.70.204;;9;229;63667;30593;0:28:48 
192.179.222.42;;14;178;62025;35501;0:57:36 
192.211.160.232;;2;212;7299;26672;1:12:00 
192.206.63.57;;13;37;31481;61458;0:28:48 
192.88.236.71;;3;121;62461;4060;1:12:00 
192.74.251.150;;9;250;49369;28345;0:14:24 
192.140.79.98;;1;156;1943;51671;2:24:00 
192.166.119.80;;4;83;44163;15665;0:14:24 
192.218.113.139;;3;276;30275;50803;1:55:12 
192.146.248.3;;11;222;40762;22017;0:28:48 
192.60.196.17;;8;162;61312;63720;2:09:36 
192.94.88.121;;8;47;21480;25843;0:14:24 
192.242.9.94;;1;136;27921;44291;2:09:36 
192.64.227.113;;13;238;45512;8794;2:24:00 
192.56.52.98;;10;64;31988;23870;2:24:00 
192.17.240.223;;8;178;11252;3399;0:28:48 
192.198.14.2;;3;177;14683;36615;1:55:12 
192.141.220.77;;3;216;45062;24374;0:57:36 
192.207.28.221;;10;239;61428;19991;1:55:12 
192.246.95.24;;1;144;5621;62368;1:12:00 
192.7.87.98;;6;156;54680;30201;2:09:36 
192.166.123.77;;6;287;42426;53253;0:14:24 
192.68.197.103;;15;21;19216;11299;0:28:48 
192.16.100.69;;5;38;24275;8622;0:57:36 
192.78.227.54;;12;164;38054;8054;2:09:36 
192.171.134.47;;6;239;27796;38210;2:09:36 
192.152.59.0;;14;20;51728;49978;2:24:00 
192.19.168.53;;6;54;29885;17834;0:28:48 
192.167.235.144;;12;211;41959;51951;0:14:24 
192.253.34.156;;13;25;59511;18785;0:28:48 
192.58.106.38;;14;66;52979;25488;0:14:24 
192.72.91.184;;15;32;13007;51812;0:28:48 
192.132.4.172;;9;81;46490;5860;1:12:00 
192.89.6.99;;2;292;27974;55608;0:28:48 
192.213.138.7;;9;294;18598;41757;1:26:24 
192.46.213.31;;1;89;62345;62559;0:14:24 
192.241.255.37;;4;257;43781;56694;1:26:24 
192.41.255.116;;5;80;57236;12351;2:09:36 
192.125.124.126;;13;212;39311;45469;2:09:36 
192.188.221.227;;3;272;32139;17039;0:14:24 
192.168.245.143;;14;81;10097;41550;2:09:36 
192.145.67.128;;3;178;22191;48209;0:43:12 
192.136.106.153;;14;161;27664;29483;0:57:36 
192.194.180.203;;9;20;3708;26822;1:40:48 
192.45.188.173;;13;99;56497;20940;1:55:12 
192.136.114.72;;5;215;46442;39803;0:28:48 
192.27.8.121;;1;160;61817;23310;2:09:36 
192.248.233.216;;14;128;36033;14146;1:26:24 
192.129.86.51;;2;204;45569;17645;1:40:48 
192.200.119.69;;15;65;11109;63131;1:40:48 
192.153.4.225;;15;231;22609;47550;2:09:36 
192.254.138.8;;12;230;55560;8600;1:40:48 
192.8.135.70;;6;125;38110;64883;1:40:48 
192.37.216.174;;11;207;23024;45684;0:57:36 
192.252.15.50;;15;202;64066;60518;1:40:48 
192.38.233.250;;9;101;42594;21145;2:24:00 
192.156.188.171;;8;187;64694;57000;0:43:12 
192.220.185.61;;5;179;20328;53105;1:55:12 
192.253.187.99;;15;75;16503;7988;2:09:36 
192.47.199.97;;8;244;56598;56983;2:09:36 
192.73.231.204;;5;297;63916;10764;1:26:24 
192.17.89.117;;7;240;38474;61249;0:14:24 
192.3.69.246;;13;268;21723;4174;0:14:24 
192.91.219.18;;8;227;42024;33220;1:40:48 
192.179.95.84;;6;76;32147;63935;0:28:48 
192.99.56.185;;13;234;53086;40458;1:55:12 
192.182.65.115;;15;173;35857;9975;1:55:12 
192.184.1.41;;14;259;3577;39802;2:24:00 
192.227.81.185;;4;190;60320;21475;1:55:12 
192.188.132.29;;14;197;47642;44820;0:14:24 
192.229.111.35;;4;186;28134;14438;2:24:00 
192.246.58.228;;13;239;12575;33318;1:55:12 
192.246.15.109;;3;267;37357;21723;1:40:48 
192.107.13.69;;14;55;15164;7673;1:40:48 
192.212.113.76;;2;232;64966;49773;1:55:12 
192.247.167.159;;7;159;37825;53507;0:43:12 
192.99.30.211;;1;107;34744;15029;1:40:48 
192.215.185.151;;8;207;61981;46230;1:26:24 
192.217.10.91;;13;253;57067;47859;1:26:24 
192.56.57.123;;5;57;44322;60070;1:26:24 
192.139.213.231;;14;122;25745;2736;1:12:00 
192.147.122.180;;6;21;29708;25536;0:57:36 
192.84.149.58;;1;97;60177;54458;1:12:00 
192.41.247.229;;1;188;1804;30708;0:14:24 
192.2.20.109;;2;75;20685;2809;0:43:12 
192.138.216.47;;3;227;3657;43678;1:40:48 
192.219.52.213;;5;289;24037;976;1:12:00 
192.175.40.250;;2;213;63159;57577;1:12:00 
192.162.253.19;;5;241;14863;18420;0:43:12 
192.241.23.70;;5;259;19625;18750;2:24:00 
192.94.41.222;;10;79;2935;54865;2:09:36 
192.70.14.94;;9;170;26891;7964;0:43:12 
192.52.7.118;;2;108;29644;36671;0:28:48 
192.193.16.238;;11;40;10202;35605;1:26:24 
192.36.245.155;;9;36;18857;39234;2:09:36 
192.184.209.181;;14;141;20751;12857;0:57:36 
192.78.28.24;;15;97;23407;14039;2:09:36 
192.128.231.52;;4;299;1943;14180;2:09:36 
192.43.65.122;;3;205;7011;54126;0:57:36 
192.100.47.18;;10;231;58500;52459;1:26:24 
192.58.53.193;;1;46;6093;50801;1:26:24 
192.24.160.4;;4;179;2999;5136;1:12:00 
192.231.149.255;;5;199;61776;59600;0:28:48 
192.46.193.208;;6;298;57908;1352;0:14:24 
192.63.25.221;;11;156;20169;15132;0:43:12 
192.248.77.148;;12;168;38753;25635;0:14:24 
192.152.54.90;;4;59;29546;35027;0:43:12 
192.30.184.12;;10;149;6780;29846;0:28:48 
192.138.102.53;;12;232;42181;9480;0:57:36 
192.190.242.69;;7;108;28105;16957;2:09:36 
192.95.104.24;;12;59;40311;17240;1:55:12 
192.196.188.210;;13;279;41611;29537;0:28:48 
192.209.33.238;;4;286;31102;1421;0:43:12 
192.47.90.173;;12;149;64375;65198;0:57:36 
192.8.148.133;;3;140;47789;44353;0:57:36 
192.83.9.211;;5;271;37345;4297;2:09:36 
192.170.68.19;;11;296;49433;37166;0:28:48 
192.50.167.250;;5;247;36791;46081;1:26:24 
192.250.150.225;;9;174;40320;2463;0:43:12 
192.178.85.160;;8;182;8034;48860;1:55:12 
192.120.92.160;;3;37;1120;11926;1:40:48 
192.140.127.61;;10;170;34621;11384;2:09:36 
192.158.139.27;;6;61;58071;55658;1:40:48 
192.43.254.173;;4;268;1854;32795;0:14:24 
192.200.113.65;;8;52;22112;54947;2:09:36 
192.111.90.96;;4;265;15166;12312;2:09:36 
192.24.121.228;;5;225;18883;62175;0:57:36 
192.103.130.58;;8;69;36175;6154;0:28:48 
192.105.188.101;;14;82;52609;36147;1:55:12 
192.182.169.11;;9;288;12291;8415;1:26:24 
192.10.164.247;;8;24;23102;43030;1:40:48 
192.126.118.147;;5;158;43658;53625;0:43:12 
192.42.146.89;;5;257;54657;2624;1:40:48 
192.213.65.215;;5;258;46299;29312;1:12:00 
192.61.85.1;;1;87;47328;30855;1:40:48 
192.106.138.125;;4;268;30736;31660;1:40:48 
192.70.224.73;;12;154;36481;21252;0:43:12 
192.37.178.111;;15;247;43060;7781;1:26:24 
192.22.218.158;;1;278;7076;49307;2:24:00 
192.177.229.155;;13;169;13967;43086;0:14:24 
192.97.51.116;;9;219;34871;27748;0:28:48 
192.46.128.10;;15;34;8921;36215;1:26:24 
192.16.36.72;;9;113;36239;1623;1:12:00 
192.104.35.107;;7;252;64904;31676;2:24:00 
192.31.25.31;;15;65;12563;14118;1:40:48 
192.145.181.253;;14;274;48894;13626;0:14:24 
192.188.102.171;;4;42;20325;23784;1:12:00 
192.237.150.112;;1;249;24623;29636;1:55:12 
192.84.184.25;;4;36;22642;31886;1:40:48 
192.26.123.231;;2;244;62045;51464;0:28:48 
192.138.33.233;;1;285;63790;20210;1:26:24 
192.80.242.223;;13;258;32522;22521;1:12:00 
192.189.76.70;;6;229;1768;27530;0:57:36 
192.85.94.105;;7;98;57370;47963;0:14:24 
192.180.17.201;;11;178;50508;63798;1:40:48 
192.203.45.50;;6;105;10062;27398;0:57:36 
192.242.91.50;;5;117;17084;35079;2:24:00 
192.231.212.150;;14;104;25051;10182;1:40:48 
192.14.60.138;;4;208;3592;50002;0:28:48 
192.183.97.67;;7;299;33658;51757;0:28:48 
192.51.142.60;;3;95;37436;9463;0:28:48 
192.118.69.135;;4;207;16586;3164;0:57:36 
192.138.237.44;;15;106;3211;27900;1:40:48 
192.28.176.38;;10;106;4572;10319;0:43:12 
192.190.111.226;;7;222;64523;64305;1:26:24 
192.135.221.89;;7;197;13263;5408;1:12:00 
192.96.12.87;;5;236;28307;1196;1:26:24 
192.185.136.196;;1;275;60142;17720;0:43:12 
192.125.215.49;;14;213;46858;34650;0:28:48 
192.65.28.8;;12;74;19090;64822;1:12:00 
192.173.059;;6;33;54523;48022;0:57:36 
192.103.189.198;;6;219;8181;26736;0:14:24 
192.135.23.90;;6;42;43667;47698;0:57:36 
192.3.146.238;;6;38;36135;30750;0:14:24 
192.176.1.41;;5;217;59735;60856;0:14:24 
192.145.31.114;;9;242;34218;40705;1:12:00 
192.76.168.238;;8;89;30878;10072;1:12:00 
192.205.239.132;;10;292;22931;61332;1:40:48 
192.227.11.75;;9;107;20469;33892;1:12:00 
192.6.104.152;;11;280;26001;50804;1:55:12 
192.22.179.76;;10;66;60602;45641;0:57:36 
192.165.255.124;;4;169;40109;44088;0:43:12 
192.247.157.168;;10;256;60182;45409;1:40:48 
192.81.84.70;;7;220;59966;14423;2:09:36 
192.123.129.100;;5;75;62414;32855;0:57:36 
192.162.5.104;;14;188;31587;34077;2:09:36 
192.245.201.116;;15;110;23301;22668;1:12:00 
192.19.71.123;;2;70;50952;7463;2:24:00 
192.48.123.24;;9;163;24574;9665;0:57:36 
192.19.122.143;;10;233;47337;23516;1:40:48 
192.116.106.110;;4;152;62320;59245;0:57:36 
192.251.216.93;;9;261;52061;62591;0:57:36 
192.55.78.94;;8;174;18160;3452;1:40:48 
192.59.225.184;;8;267;54334;4089;0:43:12 
192.117.66.184;;12;284;45110;43085;0:28:48 
192.85.165.22;;9;225;19973;26931;1:26:24 
192.235.198.116;;11;177;991;15695;1:26:24 
192.0243.38;;8;175;20374;39446;0:43:12 
192.239.9.125;;9;259;14219;48286;0:57:36 
192.147.168.3;;9;129;20481;5114;0:28:48 
192.247.232.27;;6;161;25345;44758;0:28:48 
192.65.34.231;;14;66;51551;32683;1:40:48 
192.199.172.159;;2;266;55900;40669;2:24:00 
192.6.230.202;;1;171;51658;18324;0:57:36 
192.138.111.78;;4;295;56668;7677;1:26:24 
192.187.11.44;;9;21;42051;37538;2:09:36 
192.34.16.223;;5;34;50978;24745;0:43:12 
192.163.152.55;;7;27;32266;43613;1:26:24 
192.40.97.27;;2;174;60188;49381;1:55:12 
192.245.138.91;;3;47;9470;53245;0:14:24 
192.91.117.113;;9;123;61440;64130;1:55:12 
192.240.163.251;;13;179;12745;32281;1:40:48 
192.138.65.27;;7;135;44658;22578;1:40:48 
192.149.205.150;;5;128;9203;19458;0:14:24 
192.177.6.103;;3;290;65323;4774;2:09:36 
192.88.28.246;;3;57;19205;19752;2:09:36 
192.110.136.147;;6;180;50601;10828;0:28:48 
192.132.154.119;;12;204;41239;45602;0:14:24 
192.172.71.66;;3;125;11161;57331;1:12:00 
192.45.110.133;;13;140;24550;7075;0:28:48 
192.139.231.150;;15;117;34816;32717;1:26:24 
192.72.226.7;;6;43;30023;9080;1:12:00 
192.100.15.85;;3;244;53751;12529;0:43:12 
192.130.149.242;;15;166;6663;20711;0:57:36 
192.230.124.0;;5;150;26550;13173;1:12:00 
192.234.180.249;;6;160;44046;36943;0:43:12 
192.121.40.12;;3;174;5212;41588;0:14:24 
192.250.235.126;;9;128;56450;13185;2:24:00 
192.172.27.230;;8;146;58421;41288;2:09:36 
192.190.171.50;;1;271;41930;54005;0:43:12 
192.101.234.30;;8;137;5245;62965;0:57:36 
192.176.121.218;;10;99;41941;36378;2:09:36 
192.208.114.160;;6;120;38637;38201;1:26:24 
192.111.105.230;;7;155;64572;15109;1:40:48 
192.179.174.103;;2;22;60159;37547;0:28:48 
192.237.221.111;;11;184;33980;35681;2:24:00 
192.39.143.156;;11;236;1687;7573;1:12:00 
192.145.4.211;;14;227;34103;7104;0:43:12 
192.94.218.185;;7;182;9090;44523;1:40:48 
192.231.100.190;;11;289;61578;62403;1:26:24 
192.96.210.212;;5;101;23455;65255;1:40:48 
192.119.90.34;;2;157;46968;55019;1:26:24 
192.46.153.190;;3;188;44785;1874;0:57:36 
192.32.38.131;;7;97;38832;22052;2:24:00 
192.76.61.51;;1;97;46965;62014;0:57:36 
192.83.225.215;;5;185;8219;11917;0:43:12 
192.83.225.215;;11;66;4077;8715;1:26:24 
192.83.225.215;;3;68;46083;58216;1:40:48 
192.138.65.27;;1;167;13711;23272;0:14:24 
192.85.165.22;;14;24;51630;22689;2:09:36 
192.85.165.22;;7;88;14662;57570;1:40:48 
192.85.165.22;;3;204;18540;10575;2:24:00 
192.85.165.22;;5;143;41781;50509;0:57:36 
192.85.165.22;;14;160;36657;9478;2:24:00 
192.85.165.22;;14;206;64053;56371;1:40:48 
192.85.165.22;;8;30;7729;13831;0:28:48 
